ID,income_above_limit
ID_TZ209499,1
ID_TZ209500,1
ID_TZ209501,1
ID_TZ209502,1
ID_TZ209503,1
ID_TZ209504,1
ID_TZ209505,1
ID_TZ209506,1
ID_TZ209507,1
ID_TZ209508,1
ID_TZ209509,1
ID_TZ209510,1
ID_TZ209511,1
ID_TZ209512,1
ID_TZ209513,1
ID_TZ209514,1
ID_TZ209515,1
ID_TZ209516,1
ID_TZ209517,1
ID_TZ209518,1
ID_TZ209519,1
ID_TZ209520,1
ID_TZ209521,1
ID_TZ209522,1
ID_TZ209523,1
ID_TZ209524,1
ID_TZ209525,1
ID_TZ209526,1
ID_TZ209527,1
ID_TZ209528,1
ID_TZ209529,1
ID_TZ209530,1
ID_TZ209531,1
ID_TZ209532,1
ID_TZ209533,1
ID_TZ209534,1
ID_TZ209535,1
ID_TZ209536,1
ID_TZ209537,1
ID_TZ209538,1
ID_TZ209539,1
ID_TZ209540,1
ID_TZ209541,1
ID_TZ209542,1
ID_TZ209543,1
ID_TZ209544,1
ID_TZ209545,1
ID_TZ209546,1
ID_TZ209547,1
ID_TZ209548,1
ID_TZ209549,1
ID_TZ209550,1
ID_TZ209551,1
ID_TZ209552,1
ID_TZ209553,1
ID_TZ209554,1
ID_TZ209555,1
ID_TZ209556,1
ID_TZ209557,1
ID_TZ209558,1
ID_TZ209559,1
ID_TZ209560,1
ID_TZ209561,1
ID_TZ209562,1
ID_TZ209563,1
ID_TZ209564,1
ID_TZ209565,1
ID_TZ209566,1
ID_TZ209567,1
ID_TZ209568,1
ID_TZ209569,1
ID_TZ209570,1
ID_TZ209571,1
ID_TZ209572,1
ID_TZ209573,1
ID_TZ209574,1
ID_TZ209575,1
ID_TZ209576,1
ID_TZ209577,1
ID_TZ209578,1
ID_TZ209579,1
ID_TZ209580,1
ID_TZ209581,1
ID_TZ209582,1
ID_TZ209583,1
ID_TZ209584,1
ID_TZ209585,1
ID_TZ209586,1
ID_TZ209587,1
ID_TZ209588,1
ID_TZ209589,1
ID_TZ209590,1
ID_TZ209591,1
ID_TZ209592,1
ID_TZ209593,1
ID_TZ209594,1
ID_TZ209595,1
ID_TZ209596,1
ID_TZ209597,1
ID_TZ209598,1
ID_TZ209599,1
ID_TZ209600,1
ID_TZ209601,1
ID_TZ209602,1
ID_TZ209603,1
ID_TZ209604,1
ID_TZ209605,1
ID_TZ209606,1
ID_TZ209607,1
ID_TZ209608,1
ID_TZ209609,1
ID_TZ209610,1
ID_TZ209611,1
ID_TZ209612,1
ID_TZ209613,1
ID_TZ209614,1
ID_TZ209615,1
ID_TZ209616,1
ID_TZ209617,1
ID_TZ209618,1
ID_TZ209619,1
ID_TZ209620,1
ID_TZ209621,1
ID_TZ209622,1
ID_TZ209623,1
ID_TZ209624,1
ID_TZ209625,1
ID_TZ209626,1
ID_TZ209627,1
ID_TZ209628,1
ID_TZ209629,1
ID_TZ209630,1
ID_TZ209631,1
ID_TZ209632,1
ID_TZ209633,1
ID_TZ209634,1
ID_TZ209635,1
ID_TZ209636,1
ID_TZ209637,1
ID_TZ209638,1
ID_TZ209639,1
ID_TZ209640,1
ID_TZ209641,1
ID_TZ209642,1
ID_TZ209643,1
ID_TZ209644,1
ID_TZ209645,1
ID_TZ209646,1
ID_TZ209647,1
ID_TZ209648,1
ID_TZ209649,1
ID_TZ209650,1
ID_TZ209651,1
ID_TZ209652,1
ID_TZ209653,1
ID_TZ209654,1
